id,name,text_snippet,supertype,subtype,logic_category,battle_styles,immediate_parent,evolution_root,effect_triggers,hp,retreat_cost
sve-7,Basic Darkness Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sve-15,Basic Darkness Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sv6pt5-98,Basic Darkness Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sve-6,Basic Fighting Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sve-14,Basic Fighting Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sv1-258,Basic Fighting Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sve-2,Basic Fire Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sve-10,Basic Fire Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sv3-230,Basic Fire Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sve-1,Basic Grass Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sve-9,Basic Grass Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sv2-278,Basic Grass Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sve-4,Basic Lightning Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sve-12,Basic Lightning Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sv1-257,Basic Lightning Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sve-8,Basic Metal Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sve-16,Basic Metal Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sv6pt5-99,Basic Metal Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sve-5,Basic Psychic Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sve-13,Basic Psychic Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sv3pt5-207,Basic Psychic Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sve-3,Basic Water Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sve-11,Basic Water Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sv2-279,Basic Water Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
dp1-129,Darkness Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
hgss1-121,Darkness Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
col1-94,Darkness Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
bw1-111,Darkness Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
xy1-138,Darkness Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
g1-81,Darkness Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
xy12-97,Darkness Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sm1-170,Darkness Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sm3-168,Darkness Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
swsh7-236,Darkness Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
swsh12pt5-158,Darkness Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
xy1-140,Fairy Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
g1-83,Fairy Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
xy12-99,Fairy Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sm1-172,Fairy Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sm3-169,Fairy Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
base1-97,Fighting Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
base4-125,Fighting Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
gym1-127,Fighting Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
gym2-127,Fighting Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
neo1-106,Fighting Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
ecard1-160,Fighting Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
ex1-105,Fighting Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
ex9-106,Fighting Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
ex13-110,Fighting Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
ex16-108,Fighting Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
dp1-128,Fighting Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
hgss1-120,Fighting Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
col1-93,Fighting Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
bw1-110,Fighting Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
xy1-137,Fighting Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
g1-80,Fighting Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
xy12-96,Fighting Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sm1-169,Fighting Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sm2-169,Fighting Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
swsh6-233,Fighting Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
swsh12pt5-157,Fighting Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
base1-98,Fire Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
base4-126,Fire Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
gym1-128,Fire Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
gym2-128,Fire Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
neo1-107,Fire Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
ecard1-161,Fire Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
ex1-108,Fire Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
tk1a-10,Fire Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
ex9-102,Fire Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
tk2b-11,Fire Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
ex13-106,Fire Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
ex16-104,Fire Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
dp1-124,Fire Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
hgss1-116,Fire Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
col1-89,Fire Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
bw1-106,Fire Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
xy1-133,Fire Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
g1-76,Fire Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
xy12-92,Fire Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sm1-165,Fire Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sm3-167,Fire Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
swsh8-284,Fire Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
swsh12pt5-153,Fire Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
base1-99,Grass Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
base4-127,Grass Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
gym1-129,Grass Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
gym2-129,Grass Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
neo1-108,Grass Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
ecard1-162,Grass Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
ex1-104,Grass Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
ex9-101,Grass Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
ex13-105,Grass Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
ex16-103,Grass Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
dp1-123,Grass Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
hgss1-115,Grass Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
col1-88,Grass Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
bw1-105,Grass Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
xy1-132,Grass Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
g1-75,Grass Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
xy12-91,Grass Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sm1-164,Grass Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sm2-167,Grass Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
swsh8-283,Grass Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
swsh12pt5-152,Grass Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
base1-100,Lightning Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
base4-128,Lightning Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
gym1-130,Lightning Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
gym2-130,Lightning Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
neo1-109,Lightning Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
ecard1-163,Lightning Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
ex1-109,Lightning Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
tk1b-10,Lightning Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
ex9-104,Lightning Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
tk2a-11,Lightning Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
tk2b-12,Lightning Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
ex13-108,Lightning Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
ex16-106,Lightning Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
dp1-126,Lightning Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
hgss1-118,Lightning Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
col1-91,Lightning Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
bw1-108,Lightning Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
xy1-135,Lightning Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
g1-78,Lightning Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
